metric,n,mk_tau,mk_S,mk_varS,mk_Z,mk_p,sen_slope_per_year,lin_slope,lin_intercept,lin_R2,lin_p,pettitt_index,pettitt_x,pettitt_p
n_events,35,0.40672268907563025,242.0,4827.333333333333,3.4686733079567844,0.0005230350531939543,0.10714285714285714,0.11907785096421396,-234.88443660934908,0.3237727692473652,7.039639306949397e-05,13,2002,0.0006928174759711429
total_mhw_days,35,0.5411764705882353,322.0,4955.333333333333,4.560039404476167,5.114402294559284e-06,3.3333333333333335,3.762201412586451,-7479.147284229443,0.5013939255317368,8.381544791546958e-09,20,2010,8.501327309753354e-05
max_intensity_degC,35,0.5159663865546219,307.0,4958.333333333333,4.345638207279966,1.3887129999279324e-05,0.034071353503635916,0.03437031872754525,-67.47546595069875,0.42870015781211424,6.482963947895826e-07,13,2002,0.0001523543044816343
mean_intensity_degC,35,0.4184873949579832,249.0,4958.333333333333,3.521955148383763,0.0004283766124892896,0.007082724962957746,0.008016127464550856,-15.570349194563422,0.32012538113551436,8.084783931927575e-05,12,2001,0.000789913183127335
longest_event_days,35,0.4722689075630252,281.0,4947.666666666667,3.980685024485726,6.871695345500584e-05,0.8571428571428571,1.4598047773986762,-2899.0639291667358,0.3154312024461905,9.642077651461634e-05,20,2010,0.0011631205717128209
