metric,n,mk_tau,mk_S,mk_varS,mk_Z,mk_p,sen_slope_per_year,lin_slope,lin_intercept,lin_R2,lin_p,pettitt_index,pettitt_x,pettitt_p
annual_mean_sst,41,0.7780487804878049,638.0,7926.666666666667,7.154744583762092,8.384404281969182e-13,0.039746852673982314,0.03912201758461106,-59.09820066578244,0.8572253313260537,0.0,21,2005,4.867976289921299e-06
annual_max_sst,41,0.6146341463414634,504.0,7926.666666666667,5.6496648754039756,1.607609312337388e-08,0.04545277068333596,0.04678022338122867,-67.56488673512547,0.6368935973807037,0.0,24,2008,0.00017096251896457393
annual_min_sst,41,0.5170731707317073,424.0,7926.666666666667,4.751109825637935,2.0230321093883674e-06,0.02663225597805447,0.02709200789288748,-40.45636060295977,0.49190223327598137,8.013354424463159e-10,22,2006,0.0007000483839896666
