,0
sst_anomaly,0.15830082799342474
sst_above_threshold,0.15461837545505525
is_above_threshold,0.13883244557555435
sst_anomaly_lag_1d,0.1380576572572828
sst_above_threshold_lag_1d,0.11336438240667208
sst_anomaly_lag_3d,0.05402409641334555
sst_above_threshold_lag_3d,0.045734447131003414
frac_above_threshold_30d,0.0384577375169327
sst_above_threshold_lag_7d,0.01996647159600016
sst_anomaly_lag_7d,0.018146988337504475
sst_above_threshold_lag_14d,0.016085270815086965
sst_anomaly_lag_14d,0.015956133816189304
sst_rolling_std_30d,0.008008923601360456
sst_trend_30d,0.007782065520480754
sst_lag_14d,0.007102627660765439
doy_cos,0.007064891763570063
sst_rolling_mean_30d,0.006792592525432863
sst,0.006747865747915623
sst_rolling_min_30d,0.006693773222365779
doy_sin,0.006533411572196697
sst_trend_7d,0.0059312758591837786
sst_lag_3d,0.005887933441741348
sst_lag_1d,0.005752360931045975
sst_rolling_max_30d,0.005642779128639023
sst_lag_7d,0.0056152976534038675
month_cos,0.0017159002596920244
month_sin,0.0011834667981545717
