accuracy,precision,recall,f1_score,roc_auc,avg_precision,true_positives,false_positives,true_negatives,false_negatives
0.870437224227838,0.5503355704697986,0.46458923512747874,0.5038402457757296,0.8668005877525087,0.5487597541725143,164,134,2006,189
0.8596068993180906,0.569811320754717,0.7122641509433962,0.6331236897274632,0.8939613978131811,0.7193123526612054,302,228,1841,122
0.8375451263537906,0.8499635833940277,0.8543191800878477,0.8521358159912377,0.9173845488287617,0.9431545302302325,1167,206,921,199
0.9173686321700762,0.9433962264150944,0.9511568123393316,0.9472606246799794,0.968506182800743,0.9914664282050145,1850,111,437,95
0.75,0.75,1.0,0.8571428571428571,0.5,0.75,3,1,0,0
