metric,n,mk_tau,mk_S,mk_varS,mk_Z,mk_p,sen_slope_per_year,lin_slope,lin_intercept,lin_R2,lin_p,pettitt_index,pettitt_x,pettitt_p
n_events,31,0.4043010752688172,188.0,3374.0,3.219356469214668,0.0012847866137049024,0.14285714285714285,0.14252201231862952,-282.05509280310577,0.29327380959209914,0.0005223102090576859,11,2004,0.002517554504041069
total_mhw_days,31,0.6817204301075269,317.0,3459.6666666666665,5.372419960574352,7.768691645537729e-08,8.333333333333334,8.522632383944343,-17000.757389111448,0.6699848324657092,1.687538997430238e-14,16,2010,5.498700389181002e-05
max_intensity_degC,31,0.6129032258064516,285.0,3461.6666666666665,4.826982418465522,1.3861735368436712e-06,0.04492497444152743,0.040616775387882394,-80.67760394718802,0.5995118835171129,4.4354298012194704e-11,16,2010,0.00018797053276030848
mean_intensity_degC,31,0.5268817204301075,245.0,3461.6666666666665,4.147125739808406,3.3667518407387576e-05,0.009819730184361018,0.009011432637246535,-17.819044386679774,0.32668051390075536,0.0001761127503097093,17,2011,0.002023767214424731
longest_event_days,31,0.6021505376344086,280.0,3456.6666666666665,4.745428699185666,2.080651964497804e-06,4.378378378378378,5.4467880616757585,-10872.767444504008,0.5466650648535111,3.3476221794614958e-09,17,2011,0.00015843897400217747
